date, interval, counts, cps, cpm, error
2011-09-04 19:03:00, 3600, 754, 0.209444, 12.566667, 3.641785
2011-09-04 20:03:00, 3600, 723, 0.200833, 12.050000, 3.719040
2011-09-04 21:03:00, 3600, 765, 0.212500, 12.750000, 3.615508
2011-09-04 22:03:00, 3600, 697, 0.193611, 11.616667, 3.787770
2011-09-04 23:03:00, 3600, 784, 0.217778, 13.066667, 3.571429
2011-09-05 00:03:00, 3600, 773, 0.214722, 12.883333, 3.596750
2011-09-05 01:03:00, 3600, 758, 0.210556, 12.633333, 3.632164
2011-09-05 02:03:00, 3600, 747, 0.207500, 12.450000, 3.658809
2011-09-05 03:03:00, 3600, 755, 0.209722, 12.583333, 3.639373
2011-09-05 04:03:00, 3600, 764, 0.212222, 12.733333, 3.617873
2011-09-05 05:03:00, 3600, 711, 0.197500, 11.850000, 3.750293
2011-09-05 06:03:00, 3600, 804, 0.223333, 13.400000, 3.526728
